S/N,Author,Total_Quotes,Avg_Quote_Length
1,Albert Einstein,10,18.0
2,J.K. Rowling,9,22.0
3,Marilyn Monroe,7,45.14
4,Dr. Seuss,6,21.17
5,Mark Twain,6,14.0
6,Jane Austen,5,33.4
7,C.S. Lewis,5,34.8
8,Bob Marley,3,56.67
9,Mother Teresa,2,14.0
10,Eleanor Roosevelt,2,13.5
11,Charles Bukowski,2,28.0
12,Ernest Hemingway,2,12.5
13,George R.R. Martin,2,18.5
14,Suzanne Collins,2,15.0
15,Ralph Waldo Emerson,2,32.0
16,Steve Martin,1,9.0
17,André Gide,1,19.0
18,Thomas A. Edison,1,12.0
19,Allen Saunders,1,12.0
20,Pablo Neruda,1,66.0
21,Elie Wiesel,1,37.0
22,Friedrich Nietzsche,1,16.0
23,Douglas Adams,1,22.0
24,Charles M. Schulz,1,14.0
25,William Nicholson,1,7.0
26,Garrison Keillor,1,24.0
27,Jorge Luis Borges,1,12.0
28,Martin Luther King Jr.,1,9.0
29,Haruki Murakami,1,20.0
30,James Baldwin,1,27.0
31,Alexandre Dumas fils,1,11.0
32,Stephenie Meyer,1,7.0
33,George Eliot,1,12.0
34,Jim Henson,1,27.0
35,George Bernard Shaw,1,10.0
36,Helen Keller,1,31.0
37,J.R.R. Tolkien,1,7.0
38,Alfred Tennyson,1,18.0
39,Terry Pratchett,1,24.0
40,J.D. Salinger,1,47.0
41,George Carlin,1,16.0
42,John Lennon,1,25.0
43,W.C. Fields,1,11.0
44,Ayn Rand,1,16.0
45,Jimi Hendrix,1,25.0
46,J.M. Barrie,1,8.0
47,E.E. Cummings,1,12.0
48,Khaled Hosseini,1,13.0
49,Harper Lee,1,27.0
50,Madeleine L'Engle,1,27.0
